filter_id,cwl,fwhm,snr
S001,900.0,9.0,2000.0
S002,904.5,9.045,1992.33870968
S003,909.0225,9.090225,1984.67741935
S004,913.5676125,9.135676125,1977.01612903
S005,918.135450562,9.18135450563,1969.35483871
S006,922.726127815,9.22726127815,1961.69354839
S007,927.339758454,9.27339758454,1954.03225806
S008,931.976457247,9.31976457247,1946.37096774
S009,936.636339533,9.36636339533,1938.70967742
S010,941.319521231,9.41319521231,1931.0483871
S011,946.026118837,9.46026118837,1923.38709677
S012,950.756249431,9.50756249431,1915.72580645
S013,955.510030678,9.55510030678,1908.06451613
S014,960.287580831,9.60287580831,1900.40322581
S015,965.089018736,9.65089018736,1892.74193548
S016,969.914463829,9.69914463829,1885.08064516
S017,974.764036148,9.74764036148,1877.41935484
S018,979.637856329,9.79637856329,1869.75806452
S019,984.536045611,9.84536045611,1862.09677419
S020,989.458725839,9.89458725839,1854.43548387
S021,994.406019468,9.94406019468,1846.77419355
S022,999.378049565,9.99378049565,1839.11290323
S023,1004.37493981,10.0437493981,1831.4516129
S024,1009.39681451,10.0939681451,1823.79032258
S025,1014.44379858,10.1444379858,1816.12903226
S026,1019.51601758,10.1951601758,1808.46774194
S027,1024.61359767,10.2461359767,1800.80645161
S028,1029.73666565,10.2973666565,1793.14516129
S029,1034.88534898,10.3488534898,1785.48387097
S030,1040.05977573,10.4005977573,1777.82258065
S031,1045.26007461,10.4526007461,1770.16129032
S032,1050.48637498,10.5048637498,1762.5
S033,1055.73880685,10.5573880685,1754.83870968
S034,1061.01750089,10.6101750089,1747.17741935
S035,1066.32258839,10.6632258839,1739.51612903
S036,1071.65420133,10.7165420133,1731.85483871
S037,1077.01247234,10.7701247234,1724.19354839
S038,1082.3975347,10.823975347,1716.53225806
S039,1087.80952238,10.8780952238,1708.87096774
S040,1093.24856999,10.9324856999,1701.20967742
S041,1098.71481284,10.9871481284,1693.5483871
S042,1104.2083869,11.042083869,1685.88709677
S043,1109.72942884,11.0972942884,1678.22580645
S044,1115.27807598,11.1527807598,1670.56451613
S045,1120.85446636,11.2085446636,1662.90322581
S046,1126.45873869,11.2645873869,1655.24193548
S047,1132.09103239,11.3209103239,1647.58064516
S048,1137.75148755,11.3775148755,1639.91935484
S049,1143.44024499,11.4344024499,1632.25806452
S050,1149.15744621,11.4915744621,1624.59677419
S051,1154.90323344,11.5490323344,1616.93548387
S052,1160.67774961,11.6067774961,1609.27419355
S053,1166.48113836,11.6648113836,1601.61290323
S054,1172.31354405,11.7231354405,1593.9516129
S055,1178.17511177,11.7817511177,1586.29032258
S056,1184.06598733,11.8406598733,1578.62903226
S057,1189.98631726,11.8998631726,1570.96774194
S058,1195.93624885,11.9593624885,1563.30645161
S059,1201.9159301,12.019159301,1555.64516129
S060,1207.92550975,12.0792550975,1547.98387097
S061,1213.96513729,12.1396513729,1540.32258065
S062,1220.03496298,12.2003496298,1532.66129032
S063,1226.1351378,12.261351378,1525.0
S064,1232.26581348,12.3226581348,1517.33870968
S065,1238.42714255,12.3842714255,1509.67741935
S066,1244.61927826,12.4461927826,1502.01612903
S067,1250.84237466,12.5084237466,1494.35483871
S068,1257.09658653,12.5709658653,1486.69354839
S069,1263.38206946,12.6338206946,1479.03225806
S070,1269.69897981,12.6969897981,1471.37096774
S071,1276.04747471,12.7604747471,1463.70967742
S072,1282.42771208,12.8242771208,1456.0483871
S073,1288.83985064,12.8883985064,1448.38709677
S074,1295.2840499,12.952840499,1440.72580645
S075,1301.76047015,13.0176047015,1433.06451613
S076,1308.2692725,13.082692725,1425.40322581
S077,1314.81061886,13.1481061886,1417.74193548
S078,1321.38467195,13.2138467195,1410.08064516
S079,1327.99159531,13.2799159531,1402.41935484
S080,1334.63155329,13.3463155329,1394.75806452
S081,1341.30471106,13.4130471106,1387.09677419
S082,1348.01123461,13.4801123461,1379.43548387
S083,1354.75129078,13.5475129078,1371.77419355
S084,1361.52504724,13.6152504724,1364.11290323
S085,1368.33267247,13.6833267247,1356.4516129
S086,1375.17433584,13.7517433584,1348.79032258
S087,1382.05020752,13.8205020752,1341.12903226
S088,1388.96045855,13.8896045855,1333.46774194
S089,1395.90526085,13.9590526085,1325.80645161
S090,1402.88478715,14.0288478715,1318.14516129
S091,1409.89921109,14.0989921109,1310.48387097
