filter_id,cwl,fwhm,snr
S001,900.0,6.5714867202,19100.0
S002,903.28574336,6.66507012254,19126.2859469
S003,906.618278421,6.76202532463,19152.9462274
S004,909.999291084,6.86255831775,19179.9943287
S005,913.430570243,6.96689310884,19200.0
S006,916.914016797,7.07527379463,19200.0
S007,920.451653694,7.18796693497,19200.0
S008,924.045637162,7.30526427763,19200.0
S009,927.698269301,7.42748589758,19221.5861544
S010,931.412012249,7.55498382743,19251.296098
S011,935.189504163,7.68814627235,19281.5160333
S012,939.033577299,7.82740252389,19300.0
S013,942.947278561,7.97322871364,19300.0
S014,946.933892918,8.12615458179,19300.0
S015,950.996970209,8.28677147853,19307.9757617
S016,955.140355948,8.45574187277,19341.1228476
S017,959.368226885,8.6338107147,19374.9458151
S018,963.685132242,8.82181909482,19400.0
S019,968.096041789,9.02072076746,19400.0
S020,972.606402173,9.23160227614,19400.0
S021,977.222203311,9.45570764491,19400.0
S022,981.950057134,9.69446891047,19400.0
S023,986.797291589,9.84547322801,19400.0
S024,991.720028203,9.9020806386,19400.0
S025,996.671068522,9.95910005257,19400.0
S026,1001.65061855,10.0165355364,19413.2049484
S027,1006.65888632,10.0743912109,19453.2710905
S028,1011.69608192,10.1326712518,19493.5686554
S029,1016.76241755,10.1913798911,19500.0
S030,1021.85810749,10.2295453396,19500.0
S031,1026.97288016,10.2672335731,19515.7830413
S032,1032.10649695,10.3049611578,19556.8519756
S033,1037.25897753,10.3427275357,19598.0718202
S034,1042.4303413,10.3805321478,19639.4427304
S035,1047.62060737,10.4183744342,19680.964859
S036,1052.82979459,10.4445897526,19700.0
S037,1058.05208946,10.4580000658,19700.0
S038,1063.2810895,10.4713296529,19706.248716
S039,1068.51675432,10.4845791063,19748.1340346
S040,1073.75904388,10.4977490143,19790.072351
S041,1079.00791838,10.5108399609,19832.0633471
S042,1084.26333836,10.5234693669,19874.1067069
S043,1089.52507305,10.526324804,19916.2005844
S044,1094.78823545,10.5291550858,19958.3058836
S045,1100.05281299,10.531960536,20000.4225039
S046,1105.31879326,10.5347414733,20042.5503461
S047,1110.586164,10.5374982109,20084.689312
S048,1115.8549131,10.5402310567,20126.8393048
S049,1121.12502863,10.5922969831,20169.000229
S050,1126.42117712,10.6688420624,20211.369417
S051,1131.75559815,10.7463267172,20254.0447852
S052,1137.12876151,10.8247691357,20297.0300921
S053,1142.54114608,10.9041879998,20300.0
S054,1147.99324008,10.9846025015,20300.0
S055,1153.48554133,11.0218655896,20327.8843306
S056,1158.99647413,10.9692065078,20371.971793
S057,1164.48107738,10.9177840897,20384.151381
S058,1169.93996942,10.8675513566,20340.4802446
S059,1175.3737451,10.8184637844,20300.0
