filter_id,cwl,fwhm,snr
S001,900.0,9.0,15900.0
S002,904.5,9.045,15936.0
S003,909.0225,9.090225,15972.18
S004,913.5676125,9.135676125,16000.0
S005,918.135450562,9.18135450563,16000.0
S006,922.726127815,9.22726127815,16000.0
S007,927.339758454,9.27339758454,16018.7180676
S008,931.976457247,9.31976457247,16055.811658
S009,936.636339533,9.36636339533,16093.0907163
S010,941.319521231,9.41319521231,16100.0
S011,946.026118837,9.46026118837,16100.0
S012,950.756249431,9.50756249431,16100.0
S013,955.510030678,9.55510030678,16100.0
S014,960.287580831,9.60287580831,16100.0
S015,965.089018736,9.65089018736,16100.0
S016,969.914463829,9.69914463829,16100.0
S017,974.764036148,9.74764036148,16100.0
S018,979.637856329,9.79637856329,16100.0
S019,984.536045611,9.84536045611,16100.0
S020,989.458725839,9.89458725839,16084.3301933
S021,994.406019468,9.94406019468,16044.7518443
S022,999.378049565,9.99378049565,16004.9756035
S023,1004.37493981,10.0437493981,16034.9995185
S024,1009.39681451,10.0939681451,16075.1745161
S025,1014.44379858,10.1444379858,16115.5503887
S026,1019.51601758,10.1951601758,16156.1281406
S027,1024.61359767,10.2461359767,16196.9087813
S028,1029.73666565,10.2973666565,16200.0
S029,1034.88534898,10.3488534898,16200.0
S030,1040.05977573,10.4005977573,16220.4782058
S031,1045.26007461,10.4526007461,16262.0805968
S032,1050.48637498,10.5048637498,16300.0
S033,1055.73880685,10.5573880685,16300.0
S034,1061.01750089,10.6101750089,16300.0
S035,1066.32258839,10.6632258839,16330.5807071
S036,1071.65420133,10.7165420133,16373.2336107
S037,1077.01247234,10.7701247234,16416.0997787
S038,1082.3975347,10.823975347,16459.1802776
S039,1087.80952238,10.8780952238,16502.476179
S040,1093.24856999,10.9324856999,16545.9885599
S041,1098.71481284,10.9871481284,16589.7185027
S042,1104.2083869,11.042083869,16600.0
S043,1109.72942884,11.0972942884,16600.0
S044,1115.27807598,11.1527807598,16622.2246078
S045,1120.85446636,11.2085446636,16666.8357309
S046,1126.45873869,11.2645873869,16700.0
S047,1132.09103239,11.3209103239,16700.0
S048,1137.75148755,11.3775148755,16702.0119004
S049,1143.44024499,11.4344024499,16747.5219599
S050,1149.15744621,11.4915744621,16793.2595697
S051,1154.90323344,11.5490323344,16800.0
S052,1160.67774961,11.6067774961,16800.0
S053,1166.48113836,11.6648113836,16800.0
S054,1172.31354405,11.7231354405,16800.0
S055,1178.17511177,11.7817511177,16774.5991058
S056,1184.06598733,11.8406598733,16727.4721014
S057,1189.98631726,11.8998631726,16640.3283856
S058,1195.93624885,11.9593624885,16497.5300276
S059,1201.9159301,12.019159301,16354.0176777
S060,1207.92550975,12.0792550975,16209.7877661
S061,1213.96513729,12.1396513729,16158.6054918
S062,1220.03496298,12.2003496298,16401.3985192
S063,1226.1351378,12.261351378,16618.1622047
S064,1232.26581348,12.3226581348,16716.2530158
S065,1238.42714255,12.3842714255,16800.0
S066,1244.61927826,12.4461927826,16800.0
S067,1250.84237466,12.5084237466,16800.0
S068,1257.09658653,12.5709658653,16800.0
S069,1263.38206946,12.6338206946,16800.0
S070,1269.69897981,12.6969897981,16800.0
S071,1276.04747471,12.7604747471,16783.2404047
S072,1282.42771208,12.8242771208,16681.1566067
S073,1288.83985064,12.8883985064,16589.2811949
S074,1295.2840499,12.952840499,16537.7276008
S075,1301.76047015,13.0176047015,16457.7487165
S076,1308.2692725,13.082692725,16301.5374601
S077,1314.81061886,13.1481061886,16163.0300983
S078,1321.38467195,13.2138467195,16057.8452488
S079,1327.99159531,13.2799159531,15952.134475
S080,1334.63155329,13.3463155329,15845.8951474
S081,1341.30471106,13.4130471106,15708.6869347
S082,1348.01123461,13.4801123461,15547.7303693
S083,1354.75129078,13.5475129078,15309.9483686
S084,1361.52504724,13.6152504724,15038.9981105
S085,1368.33267247,13.6833267247,14860.0158606
S086,1375.17433584,13.7517433584,14697.2106266
S087,1382.05020752,13.8205020752,14587.1966798
S088,1388.96045855,13.8896045855,13591.8284534
S089,1395.90526085,13.9590526085,9273.27259566
S090,1402.88478715,14.0288478715,6726.53843406
S091,1409.89921109,14.0989921109,6725.41612623
S092,1416.94870714,14.1694870714,6607.91002804
S093,1424.03345068,14.2403345068,6421.43957818
S094,1431.15361793,14.3115361793,6227.63701343
S095,1438.30938602,14.3830938602,6067.27393073
S096,1445.50093295,14.4550093295,6185.21530038
S097,1452.72843761,14.5272843761,6313.7870273
S098,1459.9920798,14.599920798,6459.64096244
S099,1467.2920402,14.672920402,6479.71430592
S100,1474.6285004,14.746285004,6433.34787745
S101,1482.0016429,14.820016429,6382.82869681
S102,1489.41165112,14.8941165112,6343.92947537
S103,1496.85870938,14.9685870938,6339.75912275
S104,1504.34300292,15.0434300292,6327.57679299
S105,1511.86471794,15.1186471794,6309.52467695
S106,1519.42404153,15.1942404153,6205.52418541
S107,1527.02116173,15.2702116173,6105.37546968
S108,1534.65626754,15.3465626754,6038.79734703
S109,1542.32954888,15.4232954888,6049.15911585
S110,1550.04119662,15.5004119662,6104.07389988
S111,1557.79140261,15.5779140261,5929.84926938
S112,1565.58035962,15.6558035962,5774.4678173
S113,1573.40826142,15.7340826142,5648.59515638
S114,1581.27530273,15.8127530273,5639.06477498
S115,1589.18167924,15.8918167924,5635.0889178
S116,1597.12758764,15.9712758764,5541.00936239
S117,1605.11322557,16.0511322557,5474.27535633
S118,1613.1387917,16.131387917,5433.081297
S119,1621.20448566,16.2120448566,5509.86670349
S120,1629.31050809,16.2931050809,5532.20637412
S121,1637.45706063,16.3745706063,5506.13740599
S122,1645.64434593,16.4564434593,5473.42261627
S123,1653.87256766,16.5387256766,5460.95688661
S124,1662.1419305,16.621419305,5471.54167104
S125,1670.45264015,16.7045264015,5442.73428424
S126,1678.80490335,16.7880490335,5410.17160205
S127,1687.19892787,16.8719892787,5375.25246006
S128,1695.63492251,16.9563492251,5315.42855793
S129,1704.11309712,17.0411309712,5254.38570072
S130,1712.63366261,17.1263366261,5193.06970825
S131,1721.19683092,17.2119683092,5133.47005679
S132,1729.80281508,17.2980281508,5067.80902898
S133,1738.45182915,17.3845182915,4997.00463513
S134,1747.1440883,17.471440883,4923.98965831
S135,1755.87980874,17.5587980874,4845.90575961
S136,1764.65920778,17.6465920778,4764.61707854
S137,1773.48250382,17.7348250382,4681.32516393
S138,1782.34991634,17.8234991634,4592.32484999
S139,1791.26166592,17.9126166592,4499.9758746
S140,1800.21797425,18.0021797425,4405.22133011
S141,1809.21906412,18.0921906412,4331.77243676
S142,1818.26515944,18.1826515944,4252.42174588
S143,1827.35648524,18.2735648524,4166.4925535
S144,1836.49326767,18.3649326767,4071.47001627
S145,1845.675734,18.45675734,4013.90777213
S146,1854.90411267,18.5490411267,3945.84380846
S147,1864.17863324,18.6417863324,3846.90453249
S148,1873.4995264,18.734995264,3668.68905515
S149,1882.86702404,18.8286702404,3612.93743732
S150,1892.28135916,18.9228135916,3598.91254366
S151,1901.74276595,19.0174276595,3592.10108939
S152,1911.25147978,19.1125147978,3538.09159484
S153,1920.80773718,19.2080773718,3487.13514769
S154,1930.41177587,19.3041177587,3353.73388818
S155,1940.06383475,19.4006383475,3069.75803049
S156,1949.76415392,19.4976415392,2546.71682064
S157,1959.51297469,19.5951297469,2274.48605047
S158,1969.31053956,19.6931053956,2396.77134372
S159,1979.15709226,19.7915709226,2606.57551832
S160,1989.05287772,19.8905287772,2577.42278968
S161,1998.99814211,19.9899814211,1882.04990363
S162,2008.99313282,20.0899313282,1470.98040342
S163,2019.03809849,20.1903809849,1649.2134879
S164,2029.13328898,20.2913328898,2058.65198492
S165,2039.27895542,20.3927895542,2286.10219401
S166,2049.4753502,20.494753502,2131.93270498
S167,2059.72272695,20.5972272695,2010.43854922
S168,2070.02134059,20.7002134059,2077.88340297
S169,2080.37144729,20.8037144729,2219.20026204
S170,2090.77330452,20.9077330452,2356.44660376
S171,2101.22717105,21.0122717105,2469.75572102
S172,2111.7333069,21.117333069,2536.15449962
S173,2122.29197344,21.2229197344,2569.2008835
S174,2132.9034333,21.329034333,2564.35450671
S175,2143.56795047,21.4356795047,2520.10686114
S176,2154.28579022,21.5428579022,2467.6283345
S177,2165.05721917,21.6505721917,2445.06866301
S178,2175.88250527,21.7588250527,2456.57639747
S179,2186.7619178,21.867619178,2451.35427946
S180,2197.69572739,21.9769572739,2427.34591247
S181,2208.68420602,22.0868420602,2406.02106092
S182,2219.72762705,22.1972762705,2386.27937639
S183,2230.82626519,22.3082626519,2364.88136841
S184,2241.98039651,22.4198039651,2339.53018492
S185,2253.1902985,22.531902985,2309.30149257
S186,2264.45624999,22.6445624999,2274.58350004
S187,2275.77853124,22.7577853124,2237.13500504
S188,2287.15742389,22.8715742389,2195.26068007
S189,2298.59321101,22.9859321101,2150.51461282
S190,2310.08617707,23.1008617707,2101.42771506
S191,2321.63660795,23.2163660795,2036.91128091
S192,2333.24479099,23.3324479099,1971.48875371
S193,2344.91101495,23.4491101495,1901.16238552
S194,2356.63557002,23.5663557002,1814.8537486
S195,2368.41874787,23.6841874787,1720.12351683
S196,2380.26084161,23.8026084161,1630.54280771
S197,2392.16214582,23.9216214582,1539.09203176
S198,2404.12295655,24.0412295655,1428.46157882
S199,2416.14357133,24.1614357133,1301.52388671
S200,2428.22428919,24.2822428919,1166.47115523
S201,2440.36541064,24.4036541064,1005.96731969
S202,2452.56723769,24.5256723769,846.640582422
S203,2464.83007388,24.6483007388,737.157548925
S204,2477.15422425,24.7715422425,592.081253753
S205,2489.53999537,24.8953999537,443.964831863
