filter_id,cwl,fwhm,snr
S001,900.0,6.5714867202,19100.0
S002,901.095247787,6.60246328857,19108.7619823
S003,902.195658335,6.63380455049,19117.5652667
S004,903.301292427,6.66551768087,19126.4103394
S005,904.41221204,6.69761005359,19135.2976963
S006,905.528480382,6.73008924864,19144.2278431
S007,906.650161924,6.7629630596,19153.2012954
S008,907.777322434,6.79623950141,19162.2185795
S009,908.910029017,6.82992681852,19171.2802321
S010,910.048350154,6.86403349339,19180.3868012
S011,911.192355736,6.89856825545,19189.5388459
S012,912.342117112,6.93354009036,19198.7369369
S013,913.497707127,6.96895824974,19200.0
S014,914.659200168,7.00483226146,19200.0
S015,915.826672212,7.04117194022,19200.0
S016,917.000200869,7.07798739881,19200.0
S017,918.179865435,7.11528905985,19200.0
S018,919.365746945,7.15308766804,19200.0
S019,920.557928223,7.19139430311,19200.0
S020,921.75649394,7.23022039333,19200.0
S021,922.961530673,7.26957772975,19200.0
S022,924.173126961,7.30947848113,19200.0
S023,925.391373374,7.3499352096,19203.130987
S024,926.616362576,7.39096088721,19212.9309006
S025,927.848189391,7.43256891318,19222.7855151
S026,929.086950876,7.47477313227,19232.695607
S027,930.332746398,7.51758785389,19242.6619712
S028,931.585677707,7.56102787237,19252.6854217
S029,932.845849019,7.6051084883,19262.7667922
S030,934.113367101,7.64984553098,19272.9069368
S031,935.388341356,7.69525538212,19283.1067308
S032,936.670883919,7.7413550009,19293.3670714
S033,937.961109753,7.78816195034,19300.0
S034,939.259136745,7.83569442523,19300.0
S035,940.565085815,7.88397128163,19300.0
S036,941.879081029,7.93301206807,19300.0
S037,943.201249707,7.98283705858,19300.0
S038,944.53172255,8.0334672876,19300.0
S039,945.870633765,8.08492458711,19300.0
S040,947.218121196,8.13723162581,19300.0
S041,948.574326467,8.19041195084,19300.0
S042,949.939395125,8.24449003197,19300.0
S043,951.313476797,8.29949130858,19310.5078144
S044,952.696725349,8.35544223958,19321.5738028
S045,954.089299055,8.41237035651,19332.7143924
S046,955.491360782,8.47030432008,19343.9308863
S047,956.903078168,8.52927398031,19355.2246253
S048,958.324623832,8.58931044077,19366.5969907
S049,959.756175572,8.65044612697,19378.0494046
S050,961.197916593,8.71271485945,19389.5833327
S051,962.650035736,8.77615193183,19400.0
S052,964.112727725,8.84079419429,19400.0
S053,965.586193424,8.90668014285,19400.0
S054,967.070640114,8.97385001506,19400.0
S055,968.566281783,9.04234589251,19400.0
S056,970.073339432,9.11221181081,19400.0
S057,971.592041401,9.18349387777,19400.0
S058,973.122623714,9.2562404003,19400.0
S059,974.665330447,9.33050202105,19400.0
S060,976.220414117,9.40633186551,19400.0
S061,977.788136095,9.48378570056,19400.0
S062,979.368767045,9.56292210561,19400.0
S063,980.962587396,9.64380265749,19400.0
S064,982.569887839,9.72649213035,19400.0
S065,984.19096986,9.81105871212,19400.0
S066,985.826146312,9.83431597344,19400.0
S067,987.465198975,9.85314858871,19400.0
S068,989.107390406,9.87202678778,19400.0
S069,990.752728204,9.89095071993,19400.0
S070,992.401219991,9.90992053509,19400.0
S071,994.052873413,9.92893638388,19400.0
S072,995.707696144,9.94799841755,19400.0
S073,997.36569588,9.96710678804,19400.0
S074,999.026880345,9.98626164797,19400.0
