Wavelength(um),InGaAs SWIR SNR,InAs MWIR SNR,InGaAs MWIR SNR
0.9,15900,,
0.9125,16000,,
0.925,16000,,
0.9375,16100,,
0.95,16100,,
0.9625,16100,,
0.975,16100,,
0.9875,16100,,
1,16000,,
1.0125,16100,,
1.025,16200,,
1.0375,16200,,
1.05,16300,,
1.0625,16300,,
1.075,16400,,
1.0875,16500,,
1.1,16600,,
1.1125,16600,,
1.125,16700,,
1.1375,16700,,
1.15,16800,,
1.1625,16800,,
1.175,16800,,
1.1875,16700,,
1.2,16400,,
1.2125,16100,,
1.225,16600,,
1.2375,16800,,
1.25,16800,,
1.2625,16800,,
1.275,16800,,
1.2875,16600,,
1.3,16500,,
1.3125,16200,,
1.325,16000,,
1.3375,15800,,
1.35,15500,,
1.3625,15000,,
1.375,14700,,
1.3875,14500,,
1.4,14400,551,6727
1.4125,14400,554,6725
1.425,13700,530,6396
1.4375,13000,504,6054
1.45,13500,523,6259
1.4625,14200,546,6510
1.475,14100,541,6431
1.4875,14000,534,6345
1.5,14000,534,6338
1.5125,14000,530,6308
1.525,13600,513,6123
1.5375,13300,502,6014
1.55,13500,508,6105
1.5625,12900,484,5824
1.575,12400,466,5623
1.5875,12400,467,5655
1.6,12000,454,5507
1.6125,11800,446,5427
1.625,11900,454,5546
1.6375,11700,449,5506
1.65,11500,443,5456
1.6625,,443,5472
1.675,,439,5426
1.6875,,435,5374
1.7,,427,5284
1.7125,,420,5194
1.725,,413,5107
1.7375,,405,5005
1.75,,397,4900
1.7625,,389,4785
1.775,,380,4667
1.7875,,371,4540
1.8,,361,4407
1.8125,,354,4305
1.825,,346,4191
1.8375,,337,4061
1.85,,333,3989
1.8625,,325,3879
1.875,,307,3640
1.8875,,305,3597
1.9,,307,3602
1.9125,,302,3531
1.925,,297,3465
1.9375,,276,3208
1.95,,219,2534
1.9625,,190,2193
1.975,,223,2567
1.9875,,234,2686
2,,159,1812
2.0125,,118,1338
2.025,,170,1933
2.0375,,204,2313
2.05,,188,2124
2.0625,,176,1978
2.075,,191,2144
2.0875,,208,2319
2.1,,222,2462
2.1125,,229,2541
2.125,,234,2577
2.1375,,232,2557
2.15,,226,2481
2.1625,,224,2442
2.175,,226,2457
2.1875,,226,2451
2.2,,224,2422
2.2125,,223,2399
2.225,,221,2377
2.2375,,219,2351
2.25,,217,2319
2.2625,,215,2281
2.275,,213,2240
2.2875,,211,2194
2.3,,209,2145
2.3125,,207,2091
2.325,,203,2017
2.3375,,201,1948
2.35,,200,1869
2.3625,,198,1767
2.375,,196,1668
2.3875,,194,1579
2.4,,193,1472
2.4125,,191,1340
2.425,,190,1208
2.4375,,189,1047
2.45,,187,868
2.4625,,186,764
2.475,,184,620
2.4875,,181,458
2.5,,179,372
2.5125,,177,287
2.525,,175,220
2.5375,,172,172
2.55,,170,137
2.5625,,166,105
2.575,,162,75
2.5875,,158,49
2.6,,155,28
2.6125,,154,13
2.625,,154,4
2.6375,,155,1
2.65,,147,
2.6625,,86,
2.675,,19,
2.6875,,0,
2.7,,0,
2.7125,,9,
2.725,,34,
2.7375,,32,
2.75,,8,
2.7625,,0,
2.775,,0,
2.7875,,3,
2.8,,12,
2.8125,,28,
2.825,,47,
2.8375,,60,
2.85,,71,
2.8625,,85,
2.875,,94,
2.8875,,100,
2.9,,104,
2.9125,,106,
2.925,,107,
2.9375,,106,
2.95,,105,
2.9625,,101,
2.975,,98,
2.9875,,97,
3,,97,
3.0125,,97,
3.025,,96,
3.0375,,96,
3.05,,96,
3.0625,,95,
3.075,,94,
3.0875,,93,
3.1,,92,
3.1125,,91,
3.125,,90,
3.1375,,88,
3.15,,87,
3.1625,,85,
3.175,,82,
3.1875,,80,
3.2,,76,
3.2125,,72,
3.225,,68,
3.2375,,64,
3.25,,59,
3.2625,,54,
3.275,,48,
3.2875,,43,
3.3,,38,
3.3125,,33,
3.325,,28,
3.3375,,24,
3.35,,20,
3.3625,,16,
3.375,,13,
3.3875,,10,
3.4,,7,
3.4125,,5,
3.425,,3,
3.4375,,1,
3.45,,0,
3.4625,,0,
3.475,,0,
3.4875,,0,
3.5,,0,
