Data ID,bir2jbg60a
Sample ID,JB-JLB-G60-A
Mineral Name,halite
Sample Description,"Halite medium grains (JB1660a, Melissa Lane SL6)"
Date Added,2017-06-02
Viewing Geometry,            i=NA deg             e=NA deg
Other Information,Instrument name: Thermo Nicolet Nexus 870 FTIR with Pike AutoDiff Diffuse Reflectance Accessory;                         Range: 833.4 - 99718.8 nm;                         Mineral Group: halide
Grain Size,0 - 250 micrometer
Database of Origin,RELAB
Wavelength,Response
833.4,0.54944
833.5,0.54893
833.5,0.55257
833.6,0.55515
833.7,0.55041
833.7,0.54699
833.8,0.55228
833.8,0.5543
833.9,0.55093
834.0,0.54944
834.1,0.5479
834.1,0.54853
834.2,0.55159
834.3,0.55096
834.3,0.54849
834.4,0.54862
834.5,0.55055
834.5,0.55288
834.6,0.55372
834.7,0.55253
834.7,0.55342
834.8,0.55355
834.9,0.55348
834.9,0.55522
835.0,0.55373
835.1,0.55262
835.1,0.55226
835.2,0.55238
835.3,0.55235
835.3,0.55145
835.4,0.5506
835.5,0.55255
835.5,0.55507
835.6,0.55594
835.7,0.55501
835.7,0.55385
835.8,0.55243
835.9,0.55199
835.9,0.55431
836.0,0.5565
836.1,0.55345
836.1,0.55219
836.2,0.55329
836.3,0.55245
836.3,0.5513
836.4,0.5534
836.5,0.55251
836.5,0.54967
836.6,0.55057
836.7,0.55125
836.8,0.55453
836.8,0.55705
836.9,0.55481
837.0,0.55364
837.0,0.55415
837.1,0.5522
837.2,0.5495
837.2,0.55011
837.3,0.55124
837.3,0.55139
837.4,0.55209
837.5,0.55145
837.6,0.55256
837.6,0.5542
837.7,0.55434
837.8,0.55747
837.8,0.55862
837.9,0.55427
838.0,0.55186
838.0,0.55009
838.1,0.54954
838.2,0.55089
838.2,0.55142
838.3,0.55245
838.4,0.55551
838.4,0.5542
838.5,0.55077
838.6,0.54821
838.6,0.54714
838.7,0.54906
838.8,0.55173
838.8,0.55111
838.9,0.55049
839.0,0.55177
839.0,0.55091
839.1,0.54779
839.2,0.54725
839.3,0.55006
839.3,0.55212
839.4,0.55361
839.5,0.55348
839.5,0.55083
839.6,0.5532
839.7,0.55569
839.7,0.55399
839.8,0.5527
839.9,0.55187
839.9,0.55029
840.0,0.55032
840.1,0.55294
840.1,0.55391
840.2,0.55249
840.3,0.55075
840.3,0.5511
840.4,0.55352
840.5,0.55218
840.5,0.55083
840.6,0.55304
840.7,0.55114
840.8,0.54884
840.8,0.55145
840.9,0.55343
841.0,0.55299
841.0,0.55298
841.1,0.55385
841.2,0.55308
841.2,0.55288
841.3,0.55164
841.4,0.551
841.4,0.55317
841.5,0.55265
841.6,0.54973
841.6,0.55127
841.7,0.55431
841.8,0.55238
841.8,0.55176
841.9,0.55477
842.0,0.55613
842.0,0.55251
842.1,0.55115
842.2,0.55309
842.3,0.55292
842.3,0.55151
842.4,0.55115
842.5,0.55345
842.5,0.55351
842.6,0.5507
842.7,0.55126
842.7,0.55505
842.8,0.55598
842.9,0.5544
842.9,0.55319
843.0,0.55327
843.1,0.55156
843.1,0.55088
843.2,0.55222
843.3,0.55313
843.3,0.55371
843.4,0.5536
843.5,0.55305
