,Clinopyroxene NBPP22,Orthopyroxene LAPP47B,Fayalite LAPO05,Forsterite LASC02,Hematite GDS27,Plagioclase NCLS04,Alunite F1CC08B,Bassanite GDS145,Gypsum LASF41A,Jarosite LASF21A,Kieserite F1CC15,Mg-sulphate 799F366,Chlorite LACL14,Kaolinite LAKA04,Illite LAIL02,Margarite GDS106,Vermiculite c1cy29,Serpentine LALZ01,Montmorillonite LAMO02,Nontronite NCJB26,Saponite LASA58,Talc GDS23,Calcite CAGR01,Magnesite F1CC06B,Halite HS433,Prehnite LAZE03,Siliceous-sinter bkr1jb329c,Epidote GDS26,Analcime GDS1
Filepath,../data/spectral_library/MICA_new_dirtree/inosilicates/pyroxenes/clinopyroxene/NBPP22.csv,../data/spectral_library/MICA_new_dirtree/inosilicates/pyroxenes/orthopyroxene/LAPP47B.csv,../data/spectral_library/MICA_new_dirtree/nesosilicates/olivines/fayalite/LAPO05.csv,../data/spectral_library/MICA_new_dirtree/nesosilicates/olivines/forsterite/LASC02.csv,../data/spectral_library/MICA_new_dirtree/oxides/hematites/hematite/GDS27.csv,../data/spectral_library/MICA_new_dirtree/tectosilicates/feldspars/plagioclase/NCLS04.csv,../data/spectral_library/MICA_new_dirtree/sulphates/hydrous_sulphates/alunite/F1CC08B.csv,../data/spectral_library/MICA_new_dirtree/sulphates/hydrous_sulphates/bassanite/GDS145.csv,../data/spectral_library/MICA_new_dirtree/sulphates/hydrous_sulphates/gypsum/LASF41A.csv,../data/spectral_library/MICA_new_dirtree/sulphates/hydrous_sulphates/jarosite/LASF21A.csv,../data/spectral_library/MICA_new_dirtree/sulphates/hydrous_sulphates/kieserite/F1CC15.csv,../data/spectral_library/MICA_new_dirtree/sulphates/hydrous_sulphates/mg-sulphate/799F366.csv,../data/spectral_library/MICA_new_dirtree/phyllosilicates/chlorites/chlorite/LACL14.csv,../data/spectral_library/MICA_new_dirtree/phyllosilicates/kaolinites/kaolinite/LAKA04.csv,../data/spectral_library/MICA_new_dirtree/phyllosilicates/micas/illite/LAIL02.csv,../data/spectral_library/MICA_new_dirtree/phyllosilicates/micas/margarite/GDS106.csv,../data/spectral_library/MICA_new_dirtree/phyllosilicates/micas/vermiculite/c1cy29.csv,../data/spectral_library/MICA_new_dirtree/phyllosilicates/serpentines/serpentine/LALZ01.csv,../data/spectral_library/MICA_new_dirtree/phyllosilicates/smectites/montmorillonite/LAMO02.csv,../data/spectral_library/MICA_new_dirtree/phyllosilicates/smectites/nontronite/NCJB26.csv,../data/spectral_library/MICA_new_dirtree/phyllosilicates/smectites/saponite/LASA58.csv,../data/spectral_library/MICA_new_dirtree/phyllosilicates/talcs/talc/GDS23.csv,../data/spectral_library/MICA_new_dirtree/carbonates/calcites/calcite/CAGR01.csv,../data/spectral_library/MICA_new_dirtree/carbonates/calcites/magnesite/F1CC06B.csv,../data/spectral_library/MICA_new_dirtree/halides/chlorides/halite/HS433.csv,../data/spectral_library/MICA_new_dirtree/inosilicates/prehnites/prehnite/LAZE03.csv,../data/spectral_library/MICA_new_dirtree/mineraloids/hydrated-silicas/siliceous-sinter/bkr1jb329c.csv,../data/spectral_library/MICA_new_dirtree/sorosilicates/epidotes/epidote/GDS26.csv,../data/spectral_library/MICA_new_dirtree/tectosilicates/zeolites/analcime/GDS1.csv
Category,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,sulfates,sulfates,sulfates,sulfates,sulfates,sulfates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,carbonates,carbonates,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides
Sample ID,NBPP22,LAPP47B,LAPO05,LASC02,GDS27,NCLS04,F1CC08B,GDS145,LASF41A,LASF21A,F1CC15,799F366,LACL14,LAKA04,LAIL02,GDS106,CY-PLH-029,LALZ01,LAMO02,NCJB26,LASA58,GDS23,CAGR01,F1CC06B,HS433,LAZE03,bkr1jb329c,GDS26,GDS1
Species,clinopyroxene,orthopyroxene,fayalite,forsterite,hematite,plagioclase,alunite,bassanite,gypsum,jarosite,kieserite,mg-sulphate,chlorite,kaolinite,illite,margarite,vermiculite,serpentine,montmorillonite,nontronite,saponite,talc,calcite,magnesite,halite,prehnite,siliceous-sinter,epidote,analcime
Subgroup,pyroxenes,pyroxenes,olivines,olivines,hematites,feldspars,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,chlorites,kaolinites,micas,micas,micas,serpentines,smectites,smectites,smectites,talcs,calcites,calcites,chlorides,prehnites,hydrated-silicas,epidotes,zeolites
Group,inosilicates,inosilicates,nesosilicates,nesosilicates,oxides,tectosilicates,sulphates,sulphates,sulphates,sulphates,sulphates,sulphates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,carbonates,carbonates,halides,inosilicates,mineraloids,sorosilicates,tectosilicates
Library,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree
Sample Description,,,,,,,,,,,,,,,,,"LLANO,TX",,,,,,,,,,,,
Date Added,,,,,,,,,,,,,,,,,19-Jul-90,,,,,,,,,,,,
Viewing Geometry,,,,,,,,,,,,,,,,,"i=30, e=0",,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain Size,,,,,,,,,,,,,,,,,0 - 500 µm,,,,,,,,,,,,
Locality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database of Origin,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),RELAB,MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB),MICA Files (USGS/RELAB)
Reflectance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2100.0,0.3271630108356476,0.2981089949607849,0.43897101283073425,0.756351,0.8179493546485901,0.3347649872303009,0.4772360026836395,0.645473062992096,0.6901727914810181,0.7958070039749146,0.15530000627040863,0.6969536542892456,0.4879100024700165,0.7998660206794739,0.6643459796905518,0.566290557384491,0.60362,0.4986740052700043,0.5976799726486206,0.5121514797210693,0.687044024,0.5661978125572205,0.8747760057449341,0.6799110174179077,0.9039661288261414,0.7239900231361389,0.3541555404663086,0.6728408336639404,0.7136720418930054
2101.0,0.32683300971984863,0.2993641972541809,0.43889461159706117,0.7563978,0.8185770392417908,0.33474438786506655,0.4745052933692932,0.6447744727134704,0.6889631390571594,0.7949140071868896,0.15534660518169402,0.6974101305007935,0.48770660161972046,0.7990478157997132,0.6643747806549072,0.5660261511802673,0.603746,0.49838200211524963,0.5978049755096435,0.5121459603309632,0.6867698188,0.5672671675682068,0.8744176030158997,0.6803450107574462,0.9035257577896119,0.7237804174423218,0.3542811036109924,0.6731586694717407,0.7131107091903687
2102.0,0.3265030086040497,0.3006193995475769,0.4388182103633881,0.7564446,0.8192047238349914,0.33472378849983214,0.4717745840549469,0.6440758824348449,0.6877534866333008,0.7940210103988647,0.15539320409297944,0.6978666067123414,0.48750320076942444,0.7982296109199524,0.6644035816192627,0.5657617449760437,0.603872,0.498089998960495,0.5979299783706665,0.512140440940857,0.6864956136,0.5683365225791931,0.8740592002868652,0.6807790040969849,0.9030853867530823,0.7235708117485047,0.3544066667556763,0.6734765052795411,0.712549376487732
2103.0,0.32617300748825073,0.3018746018409729,0.43874180912971494,0.7564913999999999,0.8198324084281922,0.3347031891345978,0.4690438747406006,0.6433772921562195,0.6865438342094421,0.7931280136108398,0.15543980300426483,0.6983230829238891,0.4872997999191284,0.7974114060401917,0.6644323825836181,0.5654973387718201,0.603998,0.49779799580574036,0.5980549812316894,0.5121349215507507,0.6862214084,0.5694058775901795,0.8737007975578308,0.6812129974365234,0.9026450157165528,0.7233612060546875,0.3545322299003601,0.6737943410873413,0.7119880437850952
2104.0,0.3258430063724518,0.3031298041343689,0.43866540789604186,0.7565381999999999,0.8204600930213928,0.3346825897693634,0.4663131654262543,0.642678701877594,0.6853341817855835,0.7922350168228149,0.15548640191555024,0.698779559135437,0.4870963990688324,0.7965932011604309,0.6644611835479737,0.5652329325675964,0.604124,0.4975059926509857,0.5981799840927124,0.5121294021606445,0.6859472032,0.5704752326011657,0.8733423948287964,0.6816469907760621,0.9022046446800231,0.7231516003608703,0.35465779304504397,0.6741121768951416,0.7114267110824585
2105.0,0.32551300525665283,0.3043850064277649,0.4385890066623688,0.756585,0.8210877776145935,0.33466199040412903,0.46358245611190796,0.6419801115989685,0.6841245293617249,0.79134202003479,0.15553300082683563,0.6992360353469849,0.4868929982185364,0.7957749962806702,0.6644899845123291,0.5649685263633728,0.60425,0.4972139894962311,0.5983049869537354,0.5121238827705383,0.685672998,0.5715445876121521,0.872983992099762,0.6820809841156006,0.9017642736434937,0.7229419946670532,0.3547833561897278,0.6744300127029419,0.7108653783798218
2106.0,0.3252538025379181,0.3052488029003143,0.4386348068714142,0.756726,0.8210842609405518,0.3346967935562134,0.4601140022277832,0.6420203685760498,0.6830363512039185,0.7910006165504455,0.1554740011692047,0.6995821237564087,0.48676440119743347,0.7934829950332641,0.6643041849136353,0.5645434141159058,0.604364,0.4971341907978058,0.598085594177246,0.5121283769607544,0.6864581940000001,0.5703721046447754,0.8729375958442688,0.6825001835823059,0.9024724960327148,0.7228871941566467,0.3548466801643372,0.6741690516471863,0.7094096064567565
2107.0,0.3249945998191833,0.3061125993728638,0.4386806070804596,0.756867,0.82108074426651,0.3347315967082977,0.45664554834365845,0.6420606255531311,0.6819481730461121,0.7906592130661011,0.15541500151157378,0.6999282121658326,0.48663580417633057,0.7911909937858581,0.6641183853149414,0.5641183018684387,0.604478,0.4970543920993805,0.5978662014007569,0.5121328711509705,0.68724339,0.5691996216773987,0.8728911995887756,0.6829193830490112,0.903180718421936,0.7228323936462402,0.3549100041389465,0.6739080905914306,0.7079538345336914
