,0
F1CC15 Kieserite,4038560.31277
GDS26 Epidote,269531.20401
GDS23 Talc,204240.572228
bkr1jb329c Siliceous-sinter,188955.245142
F1CC08B Alunite,174271.446647
LAKA04 Kaolinite,170915.476376
GDS1 Analcime,111254.199445
GDS27 Hematite,104033.568348
GDS106 Margarite,80821.8734516
799F366 Mg-sulphate,69322.0682062
LASF41A Gypsum,66991.7877011
LASF21A Jarosite,56298.3946751
LALZ01 Serpentine,53056.1435855
LASA58 Saponite,51024.9153739
GDS145 Bassanite,48796.5324746
LAMO02 Montmorillonite,48210.7428844
LACL14 Chlorite,37816.1359841
c1cy29 Vermiculite,37579.7778435
NCJB26 Nontronite,32975.0448065
LAPP47B Orthopyroxene,31130.9510167
LAIL02 Illite,26386.2621713
F1CC06B Magnesite,22453.7347358
NBPP22 Clinopyroxene,11822.7976145
LAZE03 Prehnite,8654.19318512
HS433 Halite,8376.36011818
CAGR01 Calcite,5331.26096567
LAPO05 Fayalite,4253.85420617
LASC02 Forsterite,3452.75308504
NCLS04 Plagioclase,3187.82409721
