,ave,std
F1CC15 Kieserite,0.062407981882,0.00531710702502
bkr1jb329c Siliceous-sinter,0.09546271151,0.00688978651996
GDS145 Bassanite,0.0966926168309,0.00856540773146
F1CC08B Alunite,0.100963185693,0.00982719843974
GDS1 Analcime,0.102423523608,0.00801529365516
c1cy29 Vermiculite,0.106936583337,0.00730223092172
GDS23 Talc,0.109427991059,0.00955448629352
799F366 Mg-sulphate,0.114382053537,0.00858844372147
LASF41A Gypsum,0.115240747306,0.010228922235
LASA58 Saponite,0.12084790946,0.0155141317595
GDS106 Margarite,0.125779967279,0.0102761683961
HS433 Halite,0.132797590665,0.0108986370159
LAKA04 Kaolinite,0.135549807248,0.0121774303705
GDS27 Hematite,0.142663971749,0.0122943506446
F1CC06B Magnesite,0.151732453484,0.0219109278727
LAMO02 Montmorillonite,0.158212714036,0.0158846062023
LALZ01 Serpentine,0.15866335473,0.0144634296949
GDS26 Epidote,0.159916618615,0.0128519783572
NCJB26 Nontronite,0.170787749331,0.0181198318904
LASF21A Jarosite,0.196391036556,0.0331996993374
LACL14 Chlorite,0.204648132661,0.0299650365772
LAZE03 Prehnite,0.211430185894,0.044101815917
LAIL02 Illite,0.222289130197,0.0339141577116
CAGR01 Calcite,0.301377064096,0.0823832312659
NCLS04 Plagioclase,0.373888177508,0.106210445145
LAPP47B Orthopyroxene,0.384903996178,0.123027684043
LAPO05 Fayalite,0.388082182809,0.124601873736
NBPP22 Clinopyroxene,0.444756140668,0.121128073704
LASC02 Forsterite,0.473397534979,0.137647373374
