,0
F1CC15 Kieserite,41837.3010449
LAPP47B Orthopyroxene,3414.48032159
GDS26 Epidote,1987.23303634
LAKA04 Kaolinite,1735.09823459
GDS23 Talc,1454.55987017
F1CC08B Alunite,1411.65497404
LASF21A Jarosite,1308.1873965
bkr1jb329c Siliceous-sinter,1292.87072241
NBPP22 Clinopyroxene,1002.0329143
GDS1 Analcime,732.910188114
LASA58 Saponite,729.687209827
GDS27 Hematite,713.580630548
GDS106 Margarite,505.754857865
LASF41A Gypsum,441.320472923
799F366 Mg-sulphate,393.291823775
LAIL02 Illite,371.893255248
CAGR01 Calcite,351.07890357
LAMO02 Montmorillonite,343.874039573
LAPO05 Fayalite,283.242363478
LALZ01 Serpentine,272.343144484
LACL14 Chlorite,260.940024619
LASC02 Forsterite,258.917884688
GDS145 Bassanite,238.115920228
LAZE03 Prehnite,208.928985833
F1CC06B Magnesite,190.314787209
NCJB26 Nontronite,175.931127962
c1cy29 Vermiculite,167.610884814
NCLS04 Plagioclase,141.816145447
HS433 Halite,32.0092266799
