,white_spectralon_enfys_sampled Au_measured,white_spectralon Au_reference
Filepath,../data/spectral_library/Calibration/Spectralon/SRS-99/AU_Measured/white_spectralon_enfys_sampled.csv,../data/spectral_library/Calibration/Spectralon/SRS-99/AU_Reference/white_spectralon.csv
Category,Measured,Reference
Sample ID,SRS-99 Aber Spectralon,SRS-99 Aber Spectralon
Species,au_measured,au_reference
Subgroup,SRS-99,SRS-99
Group,Spectralon,Spectralon
Library,Calibration,Calibration
Sample Description,,
Date Added,,
Viewing Geometry,,
Other Information,As measured by Enfys,
Composition,,
Resolution,,
Grain Size,,
Locality,,
Database of Origin,Aberystwyth University,Aberystwyth University
Reflectance,---,---
800.0,0.5411255411255411,0.725262119
801.0,0.5974025974025974,0.751288103
802.0,0.7359307359307359,0.782197478
803.0,0.8744588744588744,0.795641057
804.0,1.0,0.783987335
805.0,1.0,0.780679052
806.0,1.0,0.803386277
807.0,1.0,0.820321253
808.0,1.0,0.821998862
809.0,1.0,0.822091004
810.0,1.0,0.826561502
811.0,1.0,0.83402513
812.0,1.2424242424242424,0.845745704
813.0,1.5194805194805194,0.857876462
814.0,1.7965367965367967,0.858033926
815.0,1.8773448773203463,0.856949381
816.0,1.4155844154675323,0.86385977
817.0,0.9538239536147186,0.869147783
818.0,0.4920634917619049,0.87939242
819.0,0.4545454542727273,0.892474244
820.0,0.6392496390692641,0.900106316
821.0,0.8239538238658008,0.896865533
822.0,0.9971139971168831,0.888386669
823.0,0.9355459356103897,0.891841355
824.0,0.8739778741038962,0.905890283
825.0,0.8124098125974026,0.91555064
826.0,0.7885521887878788,0.916473167
827.0,0.8131794134458874,0.91462139
828.0,0.8378066381038961,0.912876848
829.0,0.8624338627619047,0.914364971
830.0,0.8605483408051947,0.922477454
831.0,0.8531601733246753,0.931868666
832.0,0.8457720058441558,0.936446084
833.0,0.8372192513333333,0.936164582
834.0,0.8245072574285714,0.93700925
835.0,0.8117952635238095,0.939653846
836.0,0.7990832696190476,0.939353318
837.0,0.8035523299740259,0.937556756
838.0,0.8190348866493506,0.935805212
839.0,0.8345174433246753,0.935899469
840.0,0.85,0.939253643
841.0,0.852899426077922,0.941753438
842.0,0.8557988521558442,0.940784984
843.0,0.8586982782337662,0.938328776
844.0,0.858348663077922,0.934993178
845.0,0.8529305435974026,0.929852567
846.0,0.8475124241168831,0.926243495
847.0,0.8420943046363636,0.928038608
848.0,0.8368643141601732,0.931470794
849.0,0.8316869998051948,0.935409212
850.0,0.8265096854502164,0.938313737
851.0,0.823280423047619,0.936984257
852.0,0.8294372291428571,0.933768359
853.0,0.8355940352380952,0.930347603
854.0,0.8417508413333333,0.928133837
855.0,0.8479076475844155,0.926992124
856.0,0.8540644539567099,0.924659036
857.0,0.8602212603290043,0.921334544
858.0,0.8663780667012987,0.918405017
859.0,0.8688672441125541,0.918342971
860.0,0.8711760463290042,0.915683912
861.0,0.8734848485454545,0.915167582
862.0,0.8743261455238095,0.916393364
863.0,0.8723658415930736,0.91622915
864.0,0.8704055376623376,0.916886105
865.0,0.8684452337316017,0.917342
866.0,0.8661850136450217,0.917461529
867.0,0.8638163132467532,0.916690904
868.0,0.8614476128484848,0.915652853
869.0,0.8589541245714286,0.913315121
870.0,0.8555871211428572,0.911451554
871.0,0.8522201177142857,0.910146653
872.0,0.8488531142857143,0.908715176
873.0,0.8480952378571428,0.904535162
874.0,0.8497883595194805,0.898978544
875.0,0.8514814811818182,0.893184974
876.0,0.8531746028441559,0.885485699
877.0,0.8515306912424243,0.874749221
878.0,0.8495415693030303,0.85959053
879.0,0.8475524473636363,0.845492579
880.0,0.847057704047619,0.837524528
881.0,0.8501022785238095,0.831290345
882.0,0.853146853,0.822700736
883.0,0.8561914274761905,0.809831456
884.0,0.855049712047619,0.796585292
885.0,0.8520051375714286,0.787222088
886.0,0.848960563095238,0.780281333
887.0,0.846054935004329,0.773440622
888.0,0.8447888742597403,0.769500818
889.0,0.8435228135151515,0.772168877
890.0,0.8422567527705628,0.780995492
891.0,0.8436047682597403,0.791829566
892.0,0.8479154034805195,0.799855604
893.0,0.8522260387012988,0.805084748
894.0,0.856536673922078,0.811345859
895.0,0.8536785084285714,0.820365155
896.0,0.8496472664545455,0.829484306
897.0,0.8456160244805195,0.833781005
898.0,0.8426926175194805,0.835010063
899.0,0.8430927155974026,0.83895092
900.0,0.8434928136753247,0.846954971
901.0,0.8438929117532467,0.855512657
902.0,0.8454238024329004,0.861795107
903.0,0.8475890401818181,0.863352989
904.0,0.8497542779307359,0.858269456
905.0,0.8518398644502164,0.847411181
906.0,0.8514562628571428,0.834714242
907.0,0.8510726612640692,0.828172097
908.0,0.8506890596709956,0.830029967
909.0,0.8515596555324675,0.834868286
910.0,0.8541489664242424,0.837949697
911.0,0.8567382773160173,0.840179474
912.0,0.8593275882077922,0.844054055
913.0,0.8619168993246753,0.847597049
914.0,0.8645062104935065,0.847511441
915.0,0.8670955216623376,0.845849987
916.0,0.8708428961861472,0.846306863
917.0,0.8791334423333333,0.850157882
918.0,0.8874239884805195,0.855998765
919.0,0.8957145346277057,0.86178212
920.0,0.8978996870692642,0.867383369
921.0,0.8959074648701298,0.872935298
922.0,0.8939152426709956,0.878447258
923.0,0.8919230204718614,0.883125863
924.0,0.8948272488181818,0.886932557
925.0,0.8978091986017316,0.889645085
926.0,0.9007911483852814,0.891215513
927.0,0.9027435844025974,0.891977534
928.0,0.9029801641428571,0.891642851
929.0,0.9032167438831169,0.890260811
930.0,0.9034533236233766,0.887528141
931.0,0.9055312853939393,0.885171635
932.0,0.9081729355411255,0.88500986
933.0,0.9108145856883116,0.886703264
934.0,0.9130759292987013,0.889109225
935.0,0.9132836176103896,0.890761958
936.0,0.913491305922078,0.892074815
937.0,0.9136989942337663,0.893381849
938.0,0.9141223884545455,0.894976568
939.0,0.9147245104285715,0.896219333
940.0,0.9153266324025974,0.898161443
941.0,0.9159287543766234,0.899771345
942.0,0.9143740958311688,0.901238633
943.0,0.9126756519177489,0.902143205
944.0,0.910977208004329,0.902103641
945.0,0.91076006,0.901568375
946.0,0.9135760417142857,0.900286208
947.0,0.9163920234285714,0.899403074
948.0,0.9192080051428572,0.898081001
949.0,0.9202508778268399,0.897984332
950.0,0.9205999252380952,0.89820926
951.0,0.9209489726493506,0.89869715
952.0,0.9211013790909091,0.900172448
953.0,0.9196525662077922,0.902322548
954.0,0.9182037533246753,0.904525739
955.0,0.9167549404415585,0.906163235
956.0,0.9142233708484848,0.906939548
957.0,0.9106090445454545,0.907179605
958.0,0.9069947182424243,0.907228367
959.0,0.903380391939394,0.905918552
960.0,0.8963048067662338,0.902379212
961.0,0.8888041547142858,0.891957437
962.0,0.8813035026623377,0.870266249
963.0,0.8732485812077923,0.842211026
964.0,0.8637771935021645,0.822604499
965.0,0.8543058057965368,0.813963482
966.0,0.8448344180909091,0.813941612
967.0,0.840824328965368,0.811813796
968.0,0.8394813856580087,0.806483114
969.0,0.8381384423506494,0.794468501
970.0,0.8366977785584415,0.778854905
971.0,0.8337913074935065,0.773138789
972.0,0.8308848364285714,0.775999826
973.0,0.8279783653636363,0.78230573
974.0,0.8274050025497836,0.786387581
975.0,0.8296474600389611,0.798650189
976.0,0.8318899175281386,0.809973863
977.0,0.8341323750173161,0.812184893
978.0,0.8352670631818182,0.801565901
979.0,0.8361966088787879,0.786456332
980.0,0.8371261545757576,0.779730524
981.0,0.8387801207922078,0.779174234
982.0,0.8428005273722944,0.784727819
983.0,0.846820933952381,0.791106992
984.0,0.8508413405324675,0.805369229
985.0,0.8530174184545455,0.826851266
986.0,0.8540868991818181,0.84576005
987.0,0.8551563799090909,0.854745497
988.0,0.8563288981298701,0.856441124
989.0,0.8639927784415584,0.858543065
990.0,0.8716566587532467,0.864888092
991.0,0.879320539064935,0.87277463
992.0,0.8854712853333333,0.881397611
993.0,0.889410528,0.888491087
994.0,0.8933497706666667,0.892442492
995.0,0.8972890133333333,0.893901446
996.0,0.898648173064935,0.894980132
997.0,0.8993496645974026,0.89738072
998.0,0.9000511561298702,0.898235621
999.0,0.9007155546753247,0.897366653
1000.0,0.901219216943723,0.897232913
1001.0,0.9017228792121212,0.901386431
1002.0,0.9022265414805195,0.906925148
1003.0,0.9036788630865801,0.909333278
1004.0,0.9058234496147186,0.90649772
1005.0,0.9079680361428571,0.899842067
1006.0,0.9101126226709957,0.893442176
1007.0,0.9088767829307359,0.891506456
1008.0,0.9075318971818183,0.89448614
1009.0,0.9061870114329005,0.897053435
1010.0,0.9049109807142858,0.895735088
1011.0,0.9037576915714286,0.889446392
1012.0,0.9026044024285714,0.881942687
1013.0,0.9014511132857143,0.878035715
1014.0,0.9013988554155844,0.88196165
1015.0,0.9017136079696969,0.891574532
1016.0,0.9020283605238095,0.90028151
1017.0,0.9025634766363636,0.904982876
1018.0,0.9044452589393939,0.906087122
1019.0,0.9063270412424242,0.905859116
1020.0,0.9082088235454545,0.904843304
1021.0,0.9092412524372294,0.903606263
1022.0,0.9095242518484848,0.901963196
1023.0,0.9098072512597403,0.900198152
1024.0,0.9100902506709956,0.898312535
1025.0,0.9103674522467532,0.896734187
1026.0,0.9106441624805195,0.895081985
1027.0,0.9109208727142857,0.892921274
1028.0,0.9102910445930735,0.890735048
1029.0,0.907666832090909,0.887828993
1030.0,0.9050426195887445,0.885260411
1031.0,0.90241840708658,0.883120247
1032.0,0.899040355948052,0.882620711
1033.0,0.8953440173852814,0.882701522
1034.0,0.8916476788225108,0.882172124
1035.0,0.8881198311428571,0.879448022
1036.0,0.8862207286666667,0.875224124
1037.0,0.8843216261904762,0.869105798
1038.0,0.8824225237142856,0.862009352
1039.0,0.8798199504502164,0.856162844
1040.0,0.8764685211861472,0.85279724
1041.0,0.8731170919220779,0.85261589
1042.0,0.8697656626580086,0.853566344
1043.0,0.8662167727878788,0.853977428
1044.0,0.8626396742597403,0.852515936
1045.0,0.8590625757316017,0.849287537
1046.0,0.8563299905454546,0.845143937
1047.0,0.8559322363636364,0.841732037
1048.0,0.8555344821818182,0.839215187
1049.0,0.855136728,0.837502577
1050.0,0.8527026421818181,0.835418339
1051.0,0.8492019064588745,0.832892903
1052.0,0.8457011707359308,0.829576709
1053.0,0.8422052145324675,0.826712459
1054.0,0.8388064418917749,0.824784056
1055.0,0.8354076692510822,0.823246442
1056.0,0.8320088966103896,0.821018537
1057.0,0.828652811969697,0.81714437
1058.0,0.8253516119004328,0.810805805
1059.0,0.8220504118311688,0.804163364
1060.0,0.8187492117619047,0.798170615
1061.0,0.814227708030303,0.791597321
1062.0,0.8094529337272727,0.782441594
1063.0,0.8046781594242424,0.771081497
1064.0,0.8005505734242424,0.760934393
1065.0,0.7987343742207792,0.756101249
1066.0,0.796918175017316,0.757797686
1067.0,0.7951019758138528,0.766524446
1068.0,0.7940944017662337,0.77865371
1069.0,0.7936051771774891,0.788596307
1070.0,0.7931159525887446,0.791817254
1071.0,0.792626728,0.789147269
1072.0,0.7921508458874459,0.784218473
1073.0,0.7916749637748918,0.781539794
1074.0,0.7911990816623377,0.784188701
1075.0,0.7913131782294371,0.792020933
1076.0,0.7923476415367965,0.801416357
1077.0,0.7933821048441558,0.807807131
1078.0,0.7944165681515152,0.809731817
1079.0,0.7950362163073593,0.808189046
1080.0,0.7955397162207792,0.805137893
1081.0,0.7960432161341991,0.80155223
1082.0,0.7964217006666667,0.799352891
1083.0,0.7961978383636364,0.798950132
1084.0,0.795973976060606,0.799413191
1085.0,0.7957501137575758,0.797855831
1086.0,0.7953933545714286,0.791644067
1087.0,0.7949332311428572,0.783209375
1088.0,0.7944731077142857,0.777860936
1089.0,0.7940129842857143,0.77925716
1090.0,0.7933307004415584,0.78526907
1091.0,0.7926374906753246,0.789698267
1092.0,0.7919442809090909,0.789030089
1093.0,0.7912550928571428,0.784264355
1094.0,0.7905735826233766,0.778840388
1095.0,0.7898920723896105,0.77622677
1096.0,0.7892105621558442,0.777053186
1097.0,0.788897733961039,0.780363827
1098.0,0.7887182588441558,0.783724157
1099.0,0.7885387837272727,0.787676363
1100.0,0.7888128471731601,0.794547629
1101.0,0.7922616805584415,0.803756996
1102.0,0.7957105139437229,0.811715741
1103.0,0.7991593473290043,0.815059592
1104.0,0.8007113222857143,0.814062977
1105.0,0.800481399930736,0.810568088
1106.0,0.8002514775757577,0.806160824
1107.0,0.8000215552207792,0.802597427
1108.0,0.7993900835497836,0.800824175
1109.0,0.7987170722943724,0.800779625
1110.0,0.7980440610389611,0.801486548
1111.0,0.7974416458874459,0.801968975
1112.0,0.7970064320346321,0.801233333
1113.0,0.7965712181818182,0.799508357
1114.0,0.7961360043290043,0.797421239
1115.0,0.7949550160000001,0.795672035
1116.0,0.7934350392727273,0.792644903
1117.0,0.7919150625454545,0.787874939
1118.0,0.7905316857099567,0.782604539
1119.0,0.7907601875974026,0.779489297
1120.0,0.7909886894848485,0.780788285
1121.0,0.7912171913722944,0.786970952
1122.0,0.7905356826103896,0.795446369
1123.0,0.7888228284458875,0.802462985
1124.0,0.7871099742813853,0.806554988
1125.0,0.7853971201168831,0.808457921
1126.0,0.7855527869047619,0.807652547
1127.0,0.7860142116666667,0.803831993
1128.0,0.7864756364285714,0.795793427
1129.0,0.7864024860216451,0.784111589
1130.0,0.7847256101082252,0.770767478
1131.0,0.7830487341948051,0.760182749
1132.0,0.7813718582813852,0.754905059
1133.0,0.7805382199610389,0.755215748
1134.0,0.7801776173636363,0.760186313
1135.0,0.7798170147662338,0.766977128
1136.0,0.7794167478831169,0.773082764
1137.0,0.7777868881428571,0.777591035
