,0
F1CC15 Kieserite,263573804.937
F1CC08B Alunite,20076874.6787
LAPP47B Orthopyroxene,18350639.4209
GDS23 Talc,10773487.5332
GDS1 Analcime,5653833.53881
bkr1jb329c Siliceous-sinter,4707040.64634
GDS26 Epidote,3893954.79167
LAKA04 Kaolinite,3274286.51225
GDS106 Margarite,2971383.15831
GDS145 Bassanite,2880663.73819
LASF21A Jarosite,2494743.85447
799F366 Mg-sulphate,2365024.42793
LAPO05 Fayalite,2028355.017
LASF41A Gypsum,1931975.21808
NBPP22 Clinopyroxene,1905071.18567
LASC02 Forsterite,1843105.06151
GDS27 Hematite,1693669.88434
LALZ01 Serpentine,1691090.4026
LAMO02 Montmorillonite,1426680.08328
NCJB26 Nontronite,1383304.74618
c1cy29 Vermiculite,1318833.77185
LASA58 Saponite,1271495.86501
LAZE03 Prehnite,1060988.01057
F1CC06B Magnesite,979190.628208
NCLS04 Plagioclase,647412.498101
LACL14 Chlorite,557199.378732
LAIL02 Illite,388153.523839
CAGR01 Calcite,122267.820827
HS433 Halite,84253.8513383
