,ave,std
F1CC15 Kieserite,0.00688095143698,0.000723258721348
F1CC08B Alunite,0.00963262278414,0.000941811780434
bkr1jb329c Siliceous-sinter,0.0105224216582,0.00132565910658
GDS145 Bassanite,0.0107977520558,0.00118339876809
GDS1 Analcime,0.0113456301438,0.00101200866768
LASF41A Gypsum,0.0116779863088,0.00145393866788
LASA58 Saponite,0.0123539677033,0.00169319034306
GDS23 Talc,0.0123789398403,0.00153182472717
799F366 Mg-sulphate,0.0127292892148,0.00180049145234
LAKA04 Kaolinite,0.013011062602,0.00179675203486
c1cy29 Vermiculite,0.0132036281157,0.00175115878195
F1CC06B Magnesite,0.0133216204736,0.00206918766942
LAMO02 Montmorillonite,0.0152071133138,0.00210553481081
GDS106 Margarite,0.0152585097162,0.00203363263917
LAZE03 Prehnite,0.0160731286037,0.00286047777969
LASF21A Jarosite,0.0168296624347,0.00264561285479
LALZ01 Serpentine,0.0169435168015,0.00255870195931
CAGR01 Calcite,0.0177286883999,0.00308747914898
NCJB26 Nontronite,0.0180194718122,0.00292686408935
HS433 Halite,0.0188454122023,0.00374009249707
GDS27 Hematite,0.0199042665428,0.00335293854135
LACL14 Chlorite,0.0199075934942,0.003000333586
NBPP22 Clinopyroxene,0.019966213417,0.00427638248086
LAIL02 Illite,0.0203328437487,0.00370199399825
NCLS04 Plagioclase,0.0205420169769,0.00393266801231
LAPP47B Orthopyroxene,0.0224843566376,0.00507035790749
GDS26 Epidote,0.0229783598409,0.00454209363266
LAPO05 Fayalite,0.0246105754957,0.00438245864664
LASC02 Forsterite,0.0257461746088,0.00463640208359
