,10_Otago_00001 10_otago.,10_Otago_00002 10_otago.,10_Otago_00003 10_otago.,10_Otago_00004 10_otago.,11_Iceland_00001 11_iceland.,11_Iceland_00002 11_iceland.,11_Iceland_00003 11_iceland.,11_Iceland_00004 11_iceland.,15_Oxia_Sophia_00001 15_oxia_sophia.,15_Oxia_Sophia_00002 15_oxia_sophia.,15_Oxia_Sophia_00003 15_oxia_sophia.,15_Oxia_Sophia_00004 15_oxia_sophia.,2_Atacama_Red_00001 2_atacama_red.,2_Atacama_Red_00002 2_atacama_red.,2_Atacama_Red_00003 2_atacama_red.,2_Atacama_Red_00004 2_atacama_red.,3_Sabtha_00001 3_sabtha.,3_Sabtha_00002 3_sabtha.,3_Sabtha_00003 3_sabtha.,3_Sabtha_00004 3_sabtha.,4_Watchet_Bay_00001 4_watchet_bay.,4_Watchet_Bay_00002 4_watchet_bay.,4_Watchet_Bay_00003 4_watchet_bay.,4_Watchet_Bay_00004 4_watchet_bay.,4_Watchet_Bay_00005 4_watchet_bay.,4_Watchet_Bay_00006 4_watchet_bay.,5_Granby_00001 5_granby.,5_Granby_00002 5_granby.,5_Granby_00003 5_granby.,5_Granby_00004 5_granby.,6_Hydrothermal_Clay_00001 6_hydrothermal_clay.,6_Hydrothermal_Clay_00002 6_hydrothermal_clay.,6_Hydrothermal_Clay_00003 6_hydrothermal_clay.,6_Hydrothermal_Clay_00004 6_hydrothermal_clay.,7_Oxia_Teresa_00001 7_oxia_teresa.,7_Oxia_Teresa_00002 7_oxia_teresa.,7_Oxia_Teresa_00003 7_oxia_teresa.,7_Oxia_Teresa_00004 7_oxia_teresa.,8_Mudstone_00001 8_mudstone.,8_Mudstone_00002 8_mudstone.,8_Mudstone_00003 8_mudstone.,8_Mudstone_00004 8_mudstone.,9_Congo_00001 9_congo.,9_Congo_00002 9_congo.,9_Congo_00003 9_congo.,9_Congo_00004 9_congo.,00001 Standard.,00002 Standard.,00003 Standard.,Standard_retest_00001 Standard_retest.,Standard_retest_00002 Standard_retest.,Standard_retest_00003 Standard_retest.
Category,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,samples,standards,standards,standards,standards,standards,standards
Root Data ID,10_Otago_00001 10_otago,10_Otago_00002 10_otago,10_Otago_00003 10_otago,10_Otago_00004 10_otago,11_Iceland_00001 11_iceland,11_Iceland_00002 11_iceland,11_Iceland_00003 11_iceland,11_Iceland_00004 11_iceland,15_Oxia_Sophia_00001 15_oxia_sophia,15_Oxia_Sophia_00002 15_oxia_sophia,15_Oxia_Sophia_00003 15_oxia_sophia,15_Oxia_Sophia_00004 15_oxia_sophia,2_Atacama_Red_00001 2_atacama_red,2_Atacama_Red_00002 2_atacama_red,2_Atacama_Red_00003 2_atacama_red,2_Atacama_Red_00004 2_atacama_red,3_Sabtha_00001 3_sabtha,3_Sabtha_00002 3_sabtha,3_Sabtha_00003 3_sabtha,3_Sabtha_00004 3_sabtha,4_Watchet_Bay_00001 4_watchet_bay,4_Watchet_Bay_00002 4_watchet_bay,4_Watchet_Bay_00003 4_watchet_bay,4_Watchet_Bay_00004 4_watchet_bay,4_Watchet_Bay_00005 4_watchet_bay,4_Watchet_Bay_00006 4_watchet_bay,5_Granby_00001 5_granby,5_Granby_00002 5_granby,5_Granby_00003 5_granby,5_Granby_00004 5_granby,6_Hydrothermal_Clay_00001 6_hydrothermal_clay,6_Hydrothermal_Clay_00002 6_hydrothermal_clay,6_Hydrothermal_Clay_00003 6_hydrothermal_clay,6_Hydrothermal_Clay_00004 6_hydrothermal_clay,7_Oxia_Teresa_00001 7_oxia_teresa,7_Oxia_Teresa_00002 7_oxia_teresa,7_Oxia_Teresa_00003 7_oxia_teresa,7_Oxia_Teresa_00004 7_oxia_teresa,8_Mudstone_00001 8_mudstone,8_Mudstone_00002 8_mudstone,8_Mudstone_00003 8_mudstone,8_Mudstone_00004 8_mudstone,9_Congo_00001 9_congo,9_Congo_00002 9_congo,9_Congo_00003 9_congo,9_Congo_00004 9_congo,00001 Standard,00002 Standard,00003 Standard,Standard_retest_00001 Standard_retest,Standard_retest_00002 Standard_retest,Standard_retest_00003 Standard_retest
Sample ID,10_Otago_00001,10_Otago_00002,10_Otago_00003,10_Otago_00004,11_Iceland_00001,11_Iceland_00002,11_Iceland_00003,11_Iceland_00004,15_Oxia_Sophia_00001,15_Oxia_Sophia_00002,15_Oxia_Sophia_00003,15_Oxia_Sophia_00004,2_Atacama_Red_00001,2_Atacama_Red_00002,2_Atacama_Red_00003,2_Atacama_Red_00004,3_Sabtha_00001,3_Sabtha_00002,3_Sabtha_00003,3_Sabtha_00004,4_Watchet_Bay_00001,4_Watchet_Bay_00002,4_Watchet_Bay_00003,4_Watchet_Bay_00004,4_Watchet_Bay_00005,4_Watchet_Bay_00006,5_Granby_00001,5_Granby_00002,5_Granby_00003,5_Granby_00004,6_Hydrothermal_Clay_00001,6_Hydrothermal_Clay_00002,6_Hydrothermal_Clay_00003,6_Hydrothermal_Clay_00004,7_Oxia_Teresa_00001,7_Oxia_Teresa_00002,7_Oxia_Teresa_00003,7_Oxia_Teresa_00004,8_Mudstone_00001,8_Mudstone_00002,8_Mudstone_00003,8_Mudstone_00004,9_Congo_00001,9_Congo_00002,9_Congo_00003,9_Congo_00004,Standard_00001,Standard_00002,Standard_00003,Standard_retest_00001,Standard_retest_00002,Standard_retest_00003
Species,10_otago,10_otago,10_otago,10_otago,11_iceland,11_iceland,11_iceland,11_iceland,15_oxia_sophia,15_oxia_sophia,15_oxia_sophia,15_oxia_sophia,2_atacama_red,2_atacama_red,2_atacama_red,2_atacama_red,3_sabtha,3_sabtha,3_sabtha,3_sabtha,4_watchet_bay,4_watchet_bay,4_watchet_bay,4_watchet_bay,4_watchet_bay,4_watchet_bay,5_granby,5_granby,5_granby,5_granby,6_hydrothermal_clay,6_hydrothermal_clay,6_hydrothermal_clay,6_hydrothermal_clay,7_oxia_teresa,7_oxia_teresa,7_oxia_teresa,7_oxia_teresa,8_mudstone,8_mudstone,8_mudstone,8_mudstone,9_congo,9_congo,9_congo,9_congo,standard,standard,standard,standard_retest,standard_retest,standard_retest
Subgroup,10_Otago,10_Otago,10_Otago,10_Otago,11_Iceland,11_Iceland,11_Iceland,11_Iceland,15_Oxia_Sophia,15_Oxia_Sophia,15_Oxia_Sophia,15_Oxia_Sophia,2_Atacama_Red,2_Atacama_Red,2_Atacama_Red,2_Atacama_Red,3_Sabtha,3_Sabtha,3_Sabtha,3_Sabtha,4_Watchet_Bay,4_Watchet_Bay,4_Watchet_Bay,4_Watchet_Bay,4_Watchet_Bay,4_Watchet_Bay,5_Granby,5_Granby,5_Granby,5_Granby,6_Hydrothermal_Clay,6_Hydrothermal_Clay,6_Hydrothermal_Clay,6_Hydrothermal_Clay,7_Oxia_Teresa,7_Oxia_Teresa,7_Oxia_Teresa,7_Oxia_Teresa,8_Mudstone,8_Mudstone,8_Mudstone,8_Mudstone,9_Congo,9_Congo,9_Congo,9_Congo,Standard,Standard,Standard,Standard_retest,Standard_retest,Standard_retest
Group,10_Otago,10_Otago,10_Otago,10_Otago,11_Iceland,11_Iceland,11_Iceland,11_Iceland,15_Oxia_Sophia,15_Oxia_Sophia,15_Oxia_Sophia,15_Oxia_Sophia,2_Atacama_Red,2_Atacama_Red,2_Atacama_Red,2_Atacama_Red,3_Sabtha,3_Sabtha,3_Sabtha,3_Sabtha,4_Watchet_Bay,4_Watchet_Bay,4_Watchet_Bay,4_Watchet_Bay,4_Watchet_Bay,4_Watchet_Bay,5_Granby,5_Granby,5_Granby,5_Granby,6_Hydrothermal_Clay,6_Hydrothermal_Clay,6_Hydrothermal_Clay,6_Hydrothermal_Clay,7_Oxia_Teresa,7_Oxia_Teresa,7_Oxia_Teresa,7_Oxia_Teresa,8_Mudstone,8_Mudstone,8_Mudstone,8_Mudstone,9_Congo,9_Congo,9_Congo,9_Congo,Standard,Standard,Standard,Standard_retest,Standard_retest,Standard_retest
Library,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS,EXM_MRS
Sample Description,Sample 10,Sample 10,Sample 10,Sample 10,Sample 11,Sample 11,Sample 11,Sample 11,Sample 15,Sample 15,Sample 15,Sample 15,Sample 2,Sample 2,Sample 2,Sample 2,Sample 3,Sample 3,Sample 3,Sample 3,Sample 4,Sample 4,Sample 4,Sample 4,Sample 4,Sample 4,Sample 5,Sample 5,Sample 5,Sample 5,Sample 6,Sample 6,Sample 6,Sample 6,Sample 7,Sample 7,Sample 7,Sample 7,Sample 8,Sample 8,Sample 8,Sample 8,Sample 9,Sample 9,Sample 9,Sample 9,spectralon only,Setup,Setup + Grey,Spectralon Std retest,Spectralon Std retest,Spectralon Std retest
Date Added,"02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024","02/20/2024,02/20/2024"
Viewing Geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
